,img_path,caption
0,./image/Anne_of_Green_Gables_ghibli_1.jpg,a woman with red hair standing in front of a window
1,./image/Anne_of_Green_Gables_ghibli_10.jpg,a couple of people that are standing in the snow
2,./image/Anne_of_Green_Gables_ghibli_100.jpg,a girl with long red hair and a braid
3,./image/Anne_of_Green_Gables_ghibli_101.jpg,a man standing next to a little girl in a field
4,./image/Anne_of_Green_Gables_ghibli_102.jpg,a painting of a fence in the snow
5,./image/Anne_of_Green_Gables_ghibli_103.jpg,a person standing on a dirt road with a house in the background
6,./image/Anne_of_Green_Gables_ghibli_104.jpg,a woman standing next to a little girl in the snow
7,./image/Anne_of_Green_Gables_ghibli_105.jpg,a girl with red hair and blue eyes sitting on a bench
8,./image/Anne_of_Green_Gables_ghibli_106.jpg,a little girl standing in a field of flowers
9,./image/Anne_of_Green_Gables_ghibli_107.jpg,a wooden table topped with a pile of books
10,./image/Anne_of_Green_Gables_ghibli_108.jpg,a cartoon of a girl with red hair and blue eyes
11,./image/Anne_of_Green_Gables_ghibli_109.jpg,a woman in an apron and hat with her arms outstretched
12,./image/Anne_of_Green_Gables_ghibli_11.jpg,a woman in a blue dress standing in front of a tree
13,./image/Anne_of_Green_Gables_ghibli_110.jpg,a cartoon of a woman shaking hands with a man
14,./image/Anne_of_Green_Gables_ghibli_111.jpg,a girl holding a basket on her head
15,./image/Anne_of_Green_Gables_ghibli_112.jpg,a person riding in a horse drawn carriage down a dirt road
16,./image/Anne_of_Green_Gables_ghibli_113.jpg,a person laying on a blanket with food on it
17,./image/Anne_of_Green_Gables_ghibli_114.jpg,a person with a hood on standing in front of some trees
18,./image/Anne_of_Green_Gables_ghibli_115.jpg,a painting of a snow covered field with a house in the background
19,./image/Anne_of_Green_Gables_ghibli_116.jpg,a man and woman riding in a horse drawn carriage
20,./image/Anne_of_Green_Gables_ghibli_117.jpg,a girl sitting in a chair with a candle in her hand
21,./image/Anne_of_Green_Gables_ghibli_118.jpg,a couple of people standing in the snow
22,./image/Anne_of_Green_Gables_ghibli_119.jpg,a man and a woman sitting next to each other
23,./image/Anne_of_Green_Gables_ghibli_12.jpg,a painting of two people walking through a forest
24,./image/Anne_of_Green_Gables_ghibli_120.jpg,a person standing in a forest with trees
25,./image/Anne_of_Green_Gables_ghibli_121.jpg,a painting of a couple walking through a field of flowers
26,./image/Anne_of_Green_Gables_ghibli_122.jpg,a painting of a person standing in the middle of a forest
27,./image/Anne_of_Green_Gables_ghibli_123.jpg,a woman with red hair sitting on the floor in front of a window
28,./image/Anne_of_Green_Gables_ghibli_124.jpg,a girl holding a basket of berries in a forest
29,./image/Anne_of_Green_Gables_ghibli_125.jpg,a woman holding a cake in front of her face
30,./image/Anne_of_Green_Gables_ghibli_126.jpg,a woman in a white dress holding a bouquet of flowers
31,./image/Anne_of_Green_Gables_ghibli_127.jpg,a woman in a black dress and hat holding a purse
32,./image/Anne_of_Green_Gables_ghibli_128.jpg,a girl with her eyes closed standing in front of leaves
33,./image/Anne_of_Green_Gables_ghibli_129.jpg,a woman with red hair wearing a hat
34,./image/Anne_of_Green_Gables_ghibli_13.jpg,a couple of women standing next to each other
35,./image/Anne_of_Green_Gables_ghibli_130.jpg,a woman standing next to a man in the snow
36,./image/Anne_of_Green_Gables_ghibli_131.jpg,a woman with red hair standing in front of a church
37,./image/Anne_of_Green_Gables_ghibli_132.jpg,a painting of two cats sitting in the woods
38,./image/Anne_of_Green_Gables_ghibli_133.jpg,a couple of women standing on top of a wooden bridge
39,./image/Anne_of_Green_Gables_ghibli_134.jpg,a girl in a hat and dress with flowers in her hair
40,./image/Anne_of_Green_Gables_ghibli_135.jpg,a woman in a long dress walking through a forest
41,./image/Anne_of_Green_Gables_ghibli_136.jpg,a painting of two children walking down a snow covered road
42,./image/Anne_of_Green_Gables_ghibli_137.jpg,a woman in a dress holding a basket in front of trees
43,./image/Anne_of_Green_Gables_ghibli_138.jpg,a woman looking out of a window at a tree
44,./image/Anne_of_Green_Gables_ghibli_139.jpg,a cartoon of a woman with red hair and blue overalls
45,./image/Anne_of_Green_Gables_ghibli_14.jpg,a woman walking down a dirt road next to a forest
46,./image/Anne_of_Green_Gables_ghibli_140.jpg,a couple of women standing next to each other
47,./image/Anne_of_Green_Gables_ghibli_141.jpg,a painting of a person walking across a bridge
48,./image/Anne_of_Green_Gables_ghibli_142.jpg,a man and a woman sitting next to each other
49,./image/Anne_of_Green_Gables_ghibli_143.jpg,a woman with red hair and blue eyes standing in front of a forest
50,./image/Anne_of_Green_Gables_ghibli_144.jpg,a girl with red hair holding a basket of apples
51,./image/Anne_of_Green_Gables_ghibli_145.jpg,a woman with long red hair standing in front of a body of water
52,./image/Anne_of_Green_Gables_ghibli_146.jpg,a young girl with red hair standing in front of a window
53,./image/Anne_of_Green_Gables_ghibli_147.jpg,a woman with red hair standing in front of trees
54,./image/Anne_of_Green_Gables_ghibli_148.jpg,a painting of a house with flowers in front of it
55,./image/Anne_of_Green_Gables_ghibli_149.jpg,a woman sitting on a bed in a bedroom
56,./image/Anne_of_Green_Gables_ghibli_15.jpg,a woman sitting at a desk in front of a window
57,./image/Anne_of_Green_Gables_ghibli_150.jpg,a couple of people standing on top of a lush green field
58,./image/Anne_of_Green_Gables_ghibli_16.jpg,a person holding a plate of food in front of a bowl of food
59,./image/Anne_of_Green_Gables_ghibli_17.jpg,a couple of women standing next to each other
60,./image/Anne_of_Green_Gables_ghibli_18.jpg,a group of people sitting around a dinner table
61,./image/Anne_of_Green_Gables_ghibli_19.jpg,a woman in a blue dress standing on a sidewalk
62,./image/Anne_of_Green_Gables_ghibli_2.jpg,a cartoon of a woman with a hat and a suitcase
63,./image/Anne_of_Green_Gables_ghibli_20.jpg,a person sitting on a bench in a forest
64,./image/Anne_of_Green_Gables_ghibli_21.jpg,a couple of people that are on a swing
65,./image/Anne_of_Green_Gables_ghibli_22.jpg,a woman standing next to another woman on a beach
66,./image/Anne_of_Green_Gables_ghibli_23.jpg,a couple of people that are standing in the snow
67,./image/Anne_of_Green_Gables_ghibli_24.jpg,a woman sitting at a table with food in front of her
68,./image/Anne_of_Green_Gables_ghibli_25.jpg,a girl standing in the middle of a tree filled with flowers
69,./image/Anne_of_Green_Gables_ghibli_26.jpg,a boy holding a basket over his head
70,./image/Anne_of_Green_Gables_ghibli_27.jpg,a painting of people standing outside of a red barn
71,./image/Anne_of_Green_Gables_ghibli_28.jpg,a woman in a blue coat and a brown tie
72,./image/Anne_of_Green_Gables_ghibli_29.jpg,a couple of people that are standing in the snow
73,./image/Anne_of_Green_Gables_ghibli_3.jpg,a couple of people standing in a forest next to a lake
74,./image/Anne_of_Green_Gables_ghibli_30.jpg,a young girl with red hair wearing a dress in a forest
75,./image/Anne_of_Green_Gables_ghibli_31.jpg,a man and a woman walking down a street
76,./image/Anne_of_Green_Gables_ghibli_32.jpg,a woman with red hair and a white apron is flying through the air
77,./image/Anne_of_Green_Gables_ghibli_33.jpg,a woman with red hair and blue eyes standing in front of a fence
78,./image/Anne_of_Green_Gables_ghibli_34.jpg,a woman with red hair is walking down a path
79,./image/Anne_of_Green_Gables_ghibli_35.jpg,an animated picture of a girl laying on the ground
80,./image/Anne_of_Green_Gables_ghibli_36.jpg,a girl is picking apples from a tree
81,./image/Anne_of_Green_Gables_ghibli_37.jpg,a man sitting next to a woman in a car
82,./image/Anne_of_Green_Gables_ghibli_38.jpg,a woman in a blue dress and hat holding a basket
83,./image/Anne_of_Green_Gables_ghibli_39.jpg,a cartoon of two women pulling a woman's hair
84,./image/Anne_of_Green_Gables_ghibli_4.jpg,a painting of a girl looking out of a window
85,./image/Anne_of_Green_Gables_ghibli_40.jpg,a painting of a woman walking through a forest
86,./image/Anne_of_Green_Gables_ghibli_41.jpg,a painting of a person walking in the snow
87,./image/Anne_of_Green_Gables_ghibli_42.jpg,a woman with red hair wearing an apron
88,./image/Anne_of_Green_Gables_ghibli_43.jpg,a woman in a field holding a bucket
89,./image/Anne_of_Green_Gables_ghibli_44.jpg,a painting of a man riding a bike through a forest
90,./image/Anne_of_Green_Gables_ghibli_45.jpg,a painting of two people holding hands in front of a house
91,./image/Anne_of_Green_Gables_ghibli_46.jpg,a painting of a girl looking out a window
92,./image/Anne_of_Green_Gables_ghibli_47.jpg,a man and a woman standing next to each other
93,./image/Anne_of_Green_Gables_ghibli_48.jpg,a painting of a girl sitting on a log in the woods
94,./image/Anne_of_Green_Gables_ghibli_49.jpg,a man and a woman riding in a horse drawn carriage
95,./image/Anne_of_Green_Gables_ghibli_5.jpg,two people standing on a bridge in the woods
96,./image/Anne_of_Green_Gables_ghibli_50.jpg,a woman with red hair standing next to another woman
97,./image/Anne_of_Green_Gables_ghibli_51.jpg,a couple of people laying on top of a sandy beach
98,./image/Anne_of_Green_Gables_ghibli_52.jpg,a woman standing in front of a house with a green roof
99,./image/Anne_of_Green_Gables_ghibli_53.jpg,a woman with red hair and blue eyes standing in front of a window
100,./image/Anne_of_Green_Gables_ghibli_54.jpg,a woman in a purple dress holding a bouquet of flowers
